"Story","Title","Result","Date","Stability","Duration (s)"
"Download CS vfile","Download the CSV file for one specific product","SUCCESS","2018-07-09T01:09:05.289Z","0.0","174.05"
"Page login","Start to loin the Openl10n site","SUCCESS","2018-07-09T01:08:09.835Z","0.0","55.03"
