"Story","Title","Result","Date","Stability","Duration (s)"
"Download CS vfile","(1) Start to login the Openl10n site","SUCCESS","2018-07-18T06:37:32.243Z","0.0","43.8"
"Download CS vfile","(2) Download the CSV file for one specific product","SUCCESS","2018-07-18T06:38:16.224Z","0.0","74.06"
