"Story","Title","Result","Date","Stability","Duration (s)"
"Download CS vfile","Download the CSV file for one specific product","SUCCESS","2018-07-10T06:35:39.882Z","0.0","176.71"
"Page login","Start to loin the Openl10n site","SUCCESS","2018-07-10T06:34:45.569Z","0.0","53.92"
