"Story","Title","Result","Date","Stability","Duration (s)"
"Download CS vfile","(1) Start to login the Openl10n site","SUCCESS","2018-07-30T06:30:27.740Z","0.0","45.29"
"Download CS vfile","(2) Download the CSV file for one specific product","ERROR","2018-07-30T06:31:13.278Z","0.0","8.21"
