"Story","Title","Result","Date","Stability","Duration (s)"
"Download CS vfile","(1) Start to login the Openl10n site","SUCCESS","2018-07-18T05:27:03.579Z","0.0","57.55"
"Download CS vfile","(2) Download the CSV file for one specific product","SUCCESS","2018-07-18T05:28:01.431Z","0.0","75.02"
